标题,内容,发布时间,发布日期,提取证券名称,匹配证券代码
3天2板万润科技：公司发布多款存储产品 未来市场销售情况尚存在不确定性,【3天2板万润科技：公司发布多款存储产品 未来市场销售情况尚存在不确定性】财联社9月20日电，万润科技披露股票交易异常波动公告，公司在长江产业投资集团有限公司主办的长江产业科技创新周活动之照明与存储半导体创新发展论坛上，发布了多款存储产品，该等产品实际销售情况取决于行业复苏状况、客户接受程度以及市场开拓力度等多种因素，未来市场销售情况尚存在不确定性。,19:28:55,2023-09-20,3天2板万润,
,财联社9月20日电，美国天然气期货日内跌超3%，现报2.763美元/百万英热。,19:26:04,2023-09-20,,
,财联社9月20日电，隔夜指数掉期显示，英国央行周四暂停加息的可能性从周二的20%上升到57%，此前CPI通胀数据低于预期。,19:18:50,2023-09-20,,
南山智尚：拟以3000万元-6000万元回购股份,【南山智尚：拟以3000万元-6000万元回购股份】财联社9月20日电，南山智尚公告，拟以3000万元-6000万元回购股份，回购股份价格不超过人民币17.42元/股。,19:18:18,2023-09-20,南山智尚,300918.SZ
渤海租赁：子公司与卡塔尔航空开展5架A350-1000飞机售后回租业务,【渤海租赁：子公司与卡塔尔航空开展5架A350-1000飞机售后回租业务】财联社9月20日电，渤海租赁公告，控股子公司Avolon Holdings Limited通过全资子公司Avolon Ireland 3与卡塔尔航空签署相关协议，与其开展5架A350-1000飞机售后回租业务。5架飞机目录价格约为18.33亿美元，Avolon Ireland 3在购机后将该5架飞机经营租赁给卡塔尔航空使用，上述飞机预计将于2023年第三季度交付。,19:14:20,2023-09-20,渤海租赁,000415.SZ
广州市住建局：减少购房限制有利于提升外围区域交易活跃度,【广州市住建局：减少购房限制有利于提升外围区域交易活跃度】财联社9月20日电，针对今日广州市调整优化房地产政策，广州市住建局方面向记者表示，目前，广州外围区域供应量大、去库存周期相对较长，减少购房限制有利于提升外围区域的交易活跃度，进一步稳定市场运行。调整增值税免征年限，有利于减少二手房交易成本，推动存量房市场加快恢复发展。小财注：今日广州发布通知，全面取消番禺、黄埔、花都三区楼市限购政策，同时，非户籍人口在限购区域购房缴纳社保及个税年限由此前的5年调整为2年，仍执行限购的区域包括越秀、海珠、荔湾、天河、白云（不含江高镇、太和镇、人和镇、钟落潭镇）、南沙；此外，通知还明确将越秀、海珠、荔湾、天河、白云、黄埔、番禺、南沙、增城等区个人销售住房增值税征免年限从5年调整为2年。（财联社记者 陈业）,19:13:52,2023-09-20,广州市住建局,
李强主持召开国务院常务会议 听取推动经济持续回升向好督查调研情况汇报,【李强主持召开国务院常务会议 听取推动经济持续回升向好督查调研情况汇报】财联社9月20日电，李强主持召开国务院常务会议，会议听取了关于推动经济持续回升向好督查调研情况的汇报。会议强调，对督查调研发现的问题，各地区各部门要高度重视、紧盯不放，把“问题清单”当成“责任清单”，一项一项抓紧整改落实，举一反三扩大整改成果，适时对整改情况进行“回头看”，着力推动已出台的政策措施落地见效。对督查调研收集到的意见建议，有关部门要按照职责分工，结合对明年经济工作的谋划统筹考虑、深入研究，加快推进相关政策出台和工作落实，进一步巩固经济持续回升向好态势。,19:11:03,2023-09-20,,
国常会审议通过《未成年人网络保护条例 (草案)》,【国常会审议通过《未成年人网络保护条例 (草案)》】财联社9月20日电，李强主持召开国务院常务会议，审议通过《未成年人网络保护条例 (草案)》。会议指出，未成年人是国家的未来、民族的希望。要筑牢未成年人网络保护的法治支撑，推动各有关方面严格落实未成年人网络保护责任，引导支持相关企业积极落实条例、做到合规经营，促进未成年人健康成长。,19:10:19,2023-09-20,,
国常会审议通过《清理拖欠企业账款专项行动方案》,【国常会审议通过《清理拖欠企业账款专项行动方案》】财联社9月20日电，李强主持召开国务院常务会议，审议通过《清理拖欠企业账款专项行动方案》。会议指出，解决好企业账款拖欠问题，事关企业生产经营和投资预期，事关经济持续回升向好，必须高度重视。省级政府要对本地区清欠工作负总责，抓紧解决政府拖欠企业账款问题，解开企业之间相互拖欠的“连环套”，央企国企要带头偿还。要突出实质性清偿，加强政策支持、统筹调度和监督考核，努力做到应清尽清，着力构建长效机制。,19:09:28,2023-09-20,,
国常会研究加快推进新型工业化有关工作,【国常会研究加快推进新型工业化有关工作】财联社9月20日电，李强主持召开国务院常务会议，研究加快推进新型工业化有关工作。会议强调，要深入学习贯彻习近平总书记关于推进新型工业化的重要论述，深刻分析把握国内外形势变化和我国新型工业化的阶段性特征，扎实做好各项重点工作，全面提高工业发展质量、效益和国际竞争力。要坚持推动传统产业改造升级和培育壮大战略性新兴产业两手抓，加快发展先进制造业，协同推进数字产业化和产业数字化，着力补齐短板、拉长长板、锻造新板。要坚持深化改革、扩大开放，充分调动各类经营主体积极性，发挥全国统一大市场支撑作用，以主体功能区战略引领产业合理布局，用好国内国际两个市场两种资源，切实增强推进新型工业化的动力活力。,19:07:54,2023-09-20,,
广州拟调整公租房收入线：准入限额提高至家庭年人均49952元,【广州拟调整公租房收入线：准入限额提高至家庭年人均49952元】财联社9月20日电，广州市住房和城乡建设局发布《广州市人民政府办公厅关于进一步加强户籍家庭住房保障工作的通知（征求意见稿）》，公开征求社会公众意见和建议。《征求意见稿》拟将公共租赁住房保障家庭收入线准入限额从现行的家庭年人均收入35660元提高到49952元，同时，对申请家庭所有成员均年满60周岁的家庭，放宽其家庭收入、家庭财产标准至政府公布标准的130%。,19:02:39,2023-09-20,广州拟调整公,
印孚瑟斯与英伟达扩大战略合作：利用生成式AI助全球企业提高生产力,【印孚瑟斯与英伟达扩大战略合作：利用生成式AI助全球企业提高生产力】财联社9月20日电，印度IT巨头印孚瑟斯（Infosys）与英伟达9月20日发布联合声明，宣布双方扩大战略合作，旨在帮助全球企业利用生成式AI应用和解决方案提高生产力。印孚瑟斯计划建立“英伟达卓越中心”，为5万名员工提供英伟达AI技术培训和认证，为其跨行业的庞大客户网络提供生成式AI专业知识。,19:00:06,2023-09-20,印孚瑟斯与英,
中青旅：乌镇公司拟公开挂牌出售濮院公司37.24%股权,【中青旅：乌镇公司拟公开挂牌出售濮院公司37.24%股权】财联社9月20日电，中青旅公告，控股子公司乌镇公司拟通过上海联合产权交易所挂牌转让其持有的濮院公司37.24%股权，挂牌价格不低于评估值2.54亿元。,18:59:34,2023-09-20,中青旅,600138.SH
日本资管巨头三井住友在华设立私募证券基金获批,【日本资管巨头三井住友在华设立私募证券基金获批】财联社9月20日电，据中基协披露，日本资管巨头三井住友旗下三井住友德思资管全资控股的私募基金，已于9月19日完成登记。该基金是一家私募证券投资基金，管理规模区间在0-5亿元，已经于2022年7月注册成立，注册资本6000万元，注册资本实缴比例为50%，目前全职员工有4人。 登记为法定代表人兼董事长的杜洋，曾任职于伦敦证券交易所集团金融与风险部、上海耀之资产国际部、中信建投国际金融控股有限公司资产管理部、南方东英资产管理公司固定收益部等。（财联社记者 封其娟）,18:55:28,2023-09-20,,
世界知识产权组织：中国PCT专利申请量最多的企业是华为、OPPO和中兴通讯,【世界知识产权组织：中国PCT专利申请量最多的企业是华为、OPPO和中兴通讯】财联社9月20日电，世界知识产权组织发布的全球创新指数(GII)显示，根据PCT专利申请量和科学出版物论文发表量两项指标。中国PCT专利申请量最多的是华为、OPPO和中兴通讯，而科技论文发表来自前三位的分别是中山大学、华南理工大学和深圳大学。（财联社记者郭松桥 董巍）,18:55:00,2023-09-20,世界知识产权,
拓尔思：海贝搜索数据库可替代国外开源软件ElasticSearch,【拓尔思：海贝搜索数据库可替代国外开源软件ElasticSearch】财联社9月20日电，拓尔思在互动平台表示，今年4月，公司发布了TRS海贝搜索数据库V10（以下简称海贝）加强版（Hybase10 Pro），完成了海贝的稠密向量索引核心功能开发。海贝目前已经服务于安全大数据、媒体大数据、政府大数据以及军队大数据等众多细分行业，可作为国外开源软件ElasticSearch的国产替代。目前海贝已完成与龙芯、海光、飞腾、鲲鹏等国产芯片以及中标麒麟、统信UOS等国产操作系统的适配工作，完全满足信创要求和国产化替换需求。拓天F金融行业大模型已在投研服务、信贷风控、审查审批、客户服务等场景助力用户实现智能化转型。,18:52:00,2023-09-20,拓尔思,300229.SZ
成都银行：副董事长任职资格获监管机构核准,【成都银行：副董事长任职资格获监管机构核准】财联社9月20日电，成都银行公告，国家金融监督管理总局四川监管局已核准王涛公司副董事长的任职资格。在取得公司副董事长的任职资格后，王涛担任公司党委副书记、副董事长、行长。,18:50:05,2023-09-20,成都银行,601838.SH
爱尔眼科：拟收购19家医疗机构部分股权,【爱尔眼科：拟收购19家医疗机构部分股权】财联社9月20日电，爱尔眼科公告，拟收购海南爱尔、枣庄爱尔等19家医疗机构部分股权。本次收购有利于尽快完善区域市场布局，形成规模效应，进一步深化在全国各地的“分级连锁”体系。,18:49:04,2023-09-20,爱尔眼科,300015.SZ
普利制药：替韦立马原料药提交美国DMF,【普利制药：替韦立马原料药提交美国DMF】财联社9月20日电，普利制药公告，全资子公司安徽普利药业有限公司向FDA顺利提交了替韦立马原料药药物主文件(DMF)。,18:49:01,2023-09-20,普利制药,300630.SZ
皖通高速：拟向控股股东子公司转让所持类金融公司股权,【皖通高速：拟向控股股东子公司转让所持类金融公司股权】财联社9月20日电，皖通高速公告，拟将所持皖通小贷10%的股权、所持新安金融6.6225%的股份、所持新安资本6.6225%的股权转让给控股股东之全资子公司安徽交控资本投资管理有限公司，合计转让价格8986.72万元。,18:46:07,2023-09-20,皖通高速,600012.SH
小米集团：斥资约2370万港元回购200万股,【小米集团：斥资约2370万港元回购200万股】财联社9月20日电，小米集团(01810.HK)发布公告，当日回购200万股股份，耗资约2370万港元。每股回购价为11.82港元至11.86港元。,18:44:45,2023-09-20,小米集团,
邦彦技术：控股股东、实控人办理解除婚姻关系手续,【邦彦技术：控股股东、实控人办理解除婚姻关系手续】财联社9月20日电，邦彦技术公告，于近日收到公司控股股东、实际控制人、董事长祝国胜的通知，获悉祝国胜与张岚已办理解除婚姻关系手续，并就股份分割等事宜作出相关安排，同时双方签署了《表决权委托协议》，将分割后获得的全部股份的表决权委托给祝国胜。,18:42:08,2023-09-20,邦彦技术,688132.SH
唯赛勃：公司海水淡化膜对核污染水的一些重金属元素有很好的截留作用,【唯赛勃：公司海水淡化膜对核污染水的一些重金属元素有很好的截留作用】财联社9月20日电，唯赛勃近日在业绩说明会上表示，公司高度重视核废水排海和净化处理问题，对相关应用也一直在积极研讨中，现阶段，公司的海水淡化膜可以对核污染水的一些重金属元素有很好的截留作用，但是对氚和氚的重水，暂时仍无相关方案可以有效净化处理。,18:38:48,2023-09-20,唯赛勃,688718.SH
友邦保险：斥资约1.35亿港元回购206.7万股,【友邦保险：斥资约1.35亿港元回购206.7万股】财联社9月20日电，友邦保险(01299.HK)发布公告，当日斥资约1.35亿港元回购股份206.7万股，每股回购价格为64.55-65.7港元。,18:37:46,2023-09-20,友邦保险,
昆仑万维：拟投资并控股AI大算力芯片创业企业艾捷科芯,【昆仑万维：拟投资并控股AI大算力芯片创业企业艾捷科芯】财联社9月20日电，昆仑万维公告，拟以全资公司昆诺天勤和新余昆智为主体，对AI大算力芯片创业企业艾捷科芯增资并控股，合计出资6.8亿元人民币，获得艾捷科芯58%的股权。增资后，艾捷科芯将纳入公司并表范围。公司控股艾捷科芯后，将携手创始人蒋毅敏博士，与国内芯片领域顶尖科研机构中国科学院微电子研究所强强联合，在AI大算力及配套芯片研发层面力求突破，打造更先进的人工智能芯片。昆仑万维也将完成涵盖人工智能芯片、大模型、AI应用的全产业链布局。,18:37:18,2023-09-20,昆仑万维,300418.SZ
国铁集团：第三方平台任何价格的加速包都无法实现优先购票,【国铁集团：第三方平台任何价格的加速包都无法实现优先购票】财联社9月20日电，针对一些第三方平台宣称“提供‘低速’‘高速’‘光速’等不同价格的抢票加速包，用户购买加速包可以优先购票，购买价格高加速包的用户可以排在价格低加速包的用户前面”，国铁集团负责人强调，任何用户没有优先购票权，在第三方平台购买的任何价格的加速包，都无法实现优先购票。一直以来，铁路部门坚持公平公正原则，采取技术手段等方式全力维护广大旅客合法权益和正常售票秩序，通过对12306系统实时监测和大数据分析，一旦发现购票行为异常的用户，将对其采取限流措施。当有人退票等原因产生新的票额时，铁路12306系统优先满足候补购票订单，按照旅客提交订单的先后顺序进行兑现，不收取任何附加费用。,18:31:04,2023-09-20,国铁集团,
晶科科技：拟3.15亿美元投建沙特阿拉伯400MW光伏发电项目,【晶科科技：拟3.15亿美元投建沙特阿拉伯400MW光伏发电项目】财联社9月20日电，晶科科技公告，拟投资建设沙特阿拉伯400MW光伏发电项目，投资总额约3.15亿美元（折合人民币约23亿元）。同日公告，全资下属公司晶科香港拟在境外发行规模不超过10亿元人民币（含10亿元人民币）或等值外币的公司债券。,18:29:14,2023-09-20,晶科科技,601778.SH
国务院批复同意海南省国土空间规划,【国务院批复同意海南省国土空间规划】财联社9月20日电，国务院发布关于《海南省国土空间规划（2021—2035年）》的批复。批复称，到2035年，海南省耕地保有量不低于721.75万亩，其中永久基本农田保护面积不低于638万亩；生态保护红线不低于1.76万平方千米，其中海洋生态保护红线不低于0.83万平方千米；城镇开发边界扩展倍数控制在基于2020年城镇建设用地规模的1.3倍以内；单位国内生产总值建设用地使用面积下降不少于40%；大陆自然岸线保有率不低于国家下达任务，其中2025年不低于63%；用水总量不超过国家下达指标，其中2025年不超过53亿立方米；除国家重大项目外，全面禁止围填海；严格无居民海岛管理。明确自然灾害风险重点防控区域，落实战略性矿产资源、历史文化保护等安全保障空间，严格优质岸线资源管理，全面锚固高质量发展的空间底线。,18:28:54,2023-09-20,,
东华科技：收到焦炉煤气分质深度利用项目EPC工程中标通知书,【东华科技：收到焦炉煤气分质深度利用项目EPC工程中标通知书】财联社9月20日电，东华科技公告，收到临涣焦化股份有限公司焦炉煤气分质深度利用项目EPC工程中标通知书，中标金额为6.24亿元。,18:27:20,2023-09-20,东华科技,002140.SZ
吉林敖东：拟以1亿元-1.5亿元回购股份,【吉林敖东：拟以1亿元-1.5亿元回购股份】财联社9月20日电，吉林敖东公告，拟以1亿元-1.5亿元回购股份，回购价格不超过人民币20元/股。,18:25:56,2023-09-20,吉林敖东,000623.SZ
国务院批复同意江西省国土空间规划,【国务院批复同意江西省国土空间规划】财联社9月20日电，国务院发布关于《江西省国土空间规划（2021—2035年）》的批复。批复称，到2035年，江西省耕地保有量不低于4004.59万亩，其中永久基本农田保护面积不低于3545.43万亩；生态保护红线不低于4.12万平方千米；城镇开发边界扩展倍数控制在基于2020年城镇建设用地规模的1.3倍以内；单位国内生产总值建设用地使用面积下降不少于40%；用水总量不超过国家下达指标，其中2025年不超过262.3亿立方米。明确自然灾害风险重点防控区域，落实战略性矿产资源、历史文化保护等安全保障空间，全面锚固高质量发展的空间底线。,18:24:44,2023-09-20,,
大商所发布2023年中秋节、国庆节期间交易时间安排,【大商所发布2023年中秋节、国庆节期间交易时间安排】财联社9月20日电，大商所发布通知，9月29日（星期五）至10月6日（星期五）休市，10月9日（星期一）起照常开市。10月7日（星期六）、10月8日（星期日）为周末休市。9月28日（星期四）晚上不进行夜盘交易。10月9日（星期一）所有合约集合竞价时间为上午08:55-09:00。10月9日（星期一）当晚恢复夜盘交易。,18:24:06,2023-09-20,,
广电总局：开展广播电视和网络视听虚拟现实制作技术应用示范有关工作,【广电总局：开展广播电视和网络视听虚拟现实制作技术应用示范有关工作】财联社9月20日电，广电总局印发《关于开展广播电视和网络视听虚拟现实制作技术应用示范有关工作的通知》。《通知》阐明虚拟现实制作技术应用示范工作目标，提出10类虚拟现实制作技术应用示范类型，明确申报要求，明晰各方职责。《通知》的印发是落实五部委联合印发的《虚拟现实与行业应用融合发展行动计划(2022-2026年)》的重要举措，有利于进一步加快推动虚拟现实制作关键技术攻关、重要标准研制、应用场景创新、业务流程示范，对开辟行业发展新领域新赛道，打造竞争新亮点新优势具有重要意义。,18:23:03,2023-09-20,广电总局,
潍柴动力：放弃潍柴智能科技有限公司增资优先认缴权,【潍柴动力：放弃潍柴智能科技有限公司增资优先认缴权】财联社9月20日电，潍柴动力公告，潍柴智能科技有限公司因业务发展的需要，拟增资4亿元。经智能科技各方股东沟通，本次增资将由中国重汽集团济南动力有限公司认缴。公司根据投资规划及经营状况，同意放弃本次对智能科技的增资优先认缴权。增资完成后济南动力持有智能科技约72.36%的股权。,18:22:07,2023-09-20,潍柴动力,000338.SZ
京东方A：第6代新型半导体显示产线预计于2025年量产,【京东方A：第6代新型半导体显示产线预计于2025年量产】财联社9月20日电，京东方A在互动平台表示，公司应用于VR/AR智慧终端的Fast LCD显示产品和Micro OLED显示产品已实现量产出货，于去年布局的应用LTPO技术的第6代新型半导体显示产线预计于2025年量产，届时将为全球品牌客户提供LTPO微显示产品，以满足消费者对AR/VR/MR产品的需求。,18:19:56,2023-09-20,京东方A,
艾为电子：近期推出的新产品有复位开关、CC逻辑识别芯片等,【艾为电子：近期推出的新产品有复位开关、CC逻辑识别芯片等】财联社9月20日电，艾为电子近期接受投资者调研时称，公司产品的主要产品线有高性能数模混合芯片、电源管理芯片、信号链芯片等。公司近期推出的新产品有：复位开关、CC逻辑识别芯片、分立式光学防抖OIS驱动芯片等。,18:17:39,2023-09-20,艾为电子,688798.SH
【机构龙虎榜解读】光刻胶+医药中间体，光刻胶项目正在小试研发阶段，中间体可用于精神类、抗抑郁类药物，主营产品是紫外光固化产品的重要配方成分，这家公司获机构净买入,"①光刻胶+医药中间体，光刻胶项目正在小试研发阶段，中间体可用于精神类、抗抑郁类药物，主营产品是紫外光固化产品的重要配方成分，这家公司获机构净买入；
②司美格鲁肽+次新，年产190吨高端医药项目包括司美格鲁肽中间体，核心产品应用于阿尔茨海默症领域，海外客户包括拜耳、强生、辉瑞等医药巨头，3家机构抢筹这家医药次新。",18:14:12,2023-09-20,,
甘咨询：子公司中标1365万元勘察设计项目,【甘咨询：子公司中标1365万元勘察设计项目】财联社9月20日电，甘咨询公告，全资子公司水电设计院近期收到“甘肃省白银市平川区现代丝路寒旱高效农业水源工程勘察设计”中标通知书，项目投资估算4.64亿元，中标价格1365万元。,18:13:29,2023-09-20,甘咨询,000779.SZ
摩根大通：原油价格上涨势头可能已经见顶,【摩根大通：原油价格上涨势头可能已经见顶】财联社9月20日电，摩根大通表示，油价涨势可能已经走到尽头。自8月底以来，布伦特原油价格大幅上涨，近日来在每桶95美元的水平徘徊，原因是沙特的减产导致市场吃紧。但摩根大通全球大宗商品策略主管卡内娃说，亚洲的需求复苏正在接近尾声，在目前的价格水平下，需求可能会减弱，进一步的价格上涨可能有限。摩根大通将年底布伦特原油价格目标维持在每桶86美元不变。,18:13:11,2023-09-20,摩根大通,
中国交建：香港振华拟受让海外地产美国公司17.25%股权,【中国交建：香港振华拟受让海外地产美国公司17.25%股权】财联社9月20日电，中国交建公告，公司附属香港振华拟受让中交集团附属海外地产所持海外地产美国公司17.25%股权，关联交易金额为6783万美元。,18:11:24,2023-09-20,中国交建,601800.SH
阿迪达斯投资10亿元的苏州自动化配送中心启用,【阿迪达斯投资10亿元的苏州自动化配送中心启用】财联社9月20日电，阿迪达斯苏州自动化配送中心开业仪式在苏州工业园区举行。此次启用的阿迪达斯苏州自动化配送中心总投资约10亿元人民币，建筑面积约13.9万平方米。,18:10:27,2023-09-20,,
贝肯能源：签署14.5亿元工程施工合同,【贝肯能源：签署14.5亿元工程施工合同】财联社9月20日电，贝肯能源公告，全资子公司贝肯成都与中国石油天然气股份有限公司西南油气田分公司开发事业部签署《开发事业部2023-2024年深层页岩气钻井工程施工（日费制）合同（贝肯）》，合同总金额暂定14.5亿元。,18:08:27,2023-09-20,贝肯能源,002828.SZ
广州：大力加快推动公共租赁住房、保障性租赁住房和配售的保障性住房发展,【广州：大力加快推动公共租赁住房、保障性租赁住房和配售的保障性住房发展】财联社9月20日电，广州市人民政府办公厅发布关于优化我市房地产市场平稳健康发展政策的通知，大力加快推动公共租赁住房、保障性租赁住房和配售的保障性住房发展。提高公共租赁住房保障水平，完善户籍家庭公共租赁住房保障方式；支持各类市场主体积极参与，多主体、多渠道筹集建设保障性租赁住房；建立健全配售的保障性住房体系，稳慎有序开展规划建设。,18:07:45,2023-09-20,,
龙虎榜|万润科技今日涨停 机构净买入4383.43万元,【龙虎榜|万润科技今日涨停 机构净买入4383.43万元】财联社9月20日电，万润科技今日涨停，全天换手率18.30%，成交额18.18亿元，振幅9.82%。龙虎榜数据显示，机构净买入4383.43万元，营业部席位合计净买入2398.53万元。,18:07:27,2023-09-20,,
安达智能：ADA智能平台已在部分客户实现出货,【安达智能：ADA智能平台已在部分客户实现出货】财联社9月20日电，安达智能近期在接受调研时表示，ADA智能平台是公司持续研发升级、推广的核心产品之一，目前加大对客户的拓展力度，已经在部分客户实现了出货，得到了客户的认可，未来公司将在现有客户、新客户上加大开拓力度。,18:06:32,2023-09-20,安达智能,688125.SH
利元亨：工业机器人智能装备研发中心项目将于明年7月份建成,【利元亨：工业机器人智能装备研发中心项目将于明年7月份建成】财联社9月20日电，利元亨近期在接受调研时表示，“工业机器人智能装备生产项目”已于今年6月份建成投产，“工业机器人智能装备研发中心项目”将于明年7月份建成，不会取消。,18:05:14,2023-09-20,利元亨,688499.SH
久立特材：控股股东及实控人承诺不减持公司股份,【久立特材：控股股东及实控人承诺不减持公司股份】财联社9月20日电，久立特材公告，收到控股股东久立集团股份有限公司及实际控制人周志江出具的《关于自愿不减持浙江久立特材科技股份有限公司股份的承诺函》，公司控股股东及实际控制人承诺：自本承诺之日起未来6个月内，不以任何方式减持所持有的公司股份。,18:04:26,2023-09-20,久立特材,002318.SZ
中央纪委国家监委公开通报七起违反中央八项规定精神典型问题,【中央纪委国家监委公开通报七起违反中央八项规定精神典型问题】财联社9月20日电，中央纪委国家监委对7起违反中央八项规定精神典型问题进行公开通报。国家发展改革委评估督导司原党支部书记、司长王青云，上海期货交易所原党委书记、理事长姜岩，中国五矿集团中冶华天工程技术有限公司原党委书记、董事长田野，甘肃省兰州市政协人口资源环境委员会主任、二级巡视员杨盛泉，安徽省阜阳市委编办原主任顾中伟、市财政局局长笪乘胜，原江苏省淮海剧团党支部书记、团长陈万宏，山西省临汾市安泽县人大常委会副主任李软萍等人违规公款吃喝、公款送礼、违规收受礼品礼金、违规接受或提供可能影响公正执行公务的宴请等，受到严肃处理。,18:03:52,2023-09-20,,
首个一线城市官宣！广州优化住房限购和增值税免税年限,【首个一线城市官宣！广州优化住房限购和增值税免税年限】财联社9月20日电，广州市发布优化房地产市场平稳健康发展政策的通知，将住房限购政策调整为，在越秀、海珠、荔湾、天河、白云（不含江高镇、太和镇、人和镇、钟落潭镇）、南沙等区购买住房的，本市户籍居民家庭限购2套住房；非本市户籍居民家庭能提供购房之日前2年在本市连续缴纳个人所得税缴纳证明或社会保险证明的，限购1套住房。将越秀、海珠、荔湾、天河、白云、黄埔、番禺、南沙、增城等区个人销售住房增值税征免年限从5年调整为2年。,18:03:03,2023-09-20,,
豪恩汽电：收到行车记录系统产品定点通知书,【豪恩汽电：收到行车记录系统产品定点通知书】财联社9月20日电，豪恩汽电公告，近日收到了某一流合资品牌车企的供应商定点信。根据该定点信显示，公司成为该客户行车记录系统产品的供应商，生命周期内预计销售收入约9亿元。,18:02:34,2023-09-20,豪恩汽电,301488.SZ
,财联社9月20日电，交易员将英国央行周四加息25个基点的概率降至50%。,18:01:42,2023-09-20,,
北交所召开私募做市研讨会 多家私募机构认为参与做市具备探索空间,【北交所召开私募做市研讨会 多家私募机构认为参与做市具备探索空间】财联社9月20日电，从部分私募机构了解到，9月20日，北交所召开私募做市研讨会，邀请了基金业协会、私募机构代表就北交所探索私募做市业务、持续完善市场交易制度进行了深入研讨。据了解，会议围绕做市商功能定位、私募基金开展北交所做市业务的意愿和可行路径等问题进行广泛研讨。同时，多家参会私募机构表示，做市商制度与中小企业为主、流动性相对偏弱市场的契合度较高，认为当前北交所做市制度切实发挥了促进流动性和平抑价格波动的作用，并表示私募机构参与北交所股票做市具备探索空间。 (新京报贝壳财经),18:01:22,2023-09-20,,
以岭药业：中药新药“连花清咳颗粒”药物临床试验申请获得受理,【以岭药业：中药新药“连花清咳颗粒”药物临床试验申请获得受理】财联社9月20日电，以岭药业公告，中药新药“连花清咳颗粒”药物临床试验申请获得受理，连花清咳颗粒是依据儿童用药习惯，基于“连花清咳片”研发的中药颗粒剂。其拟定功能主治为：宣肺泄热，化痰止咳。,17:59:23,2023-09-20,以岭药业,002603.SZ
杭州今年第十批供地揽金逾91亿元,【杭州今年第十批供地揽金逾91亿元】财联社9月20日电，杭州进行今年第十批供地。杭州本次共出让8宗地块，出让总建筑面积48.4万平方米，起始出让总价85.9亿元。最终，这8宗地块全部成功出让，总成交金额91.6亿元，平均溢价率6.7%；8宗地块中，仅3宗封顶摇号，其余地块以底价成交。（财联社记者 王海春）,17:59:04,2023-09-20,,
,财联社9月20日电，腾讯控股9月20日回购130万股，耗资约4亿港元。,17:51:29,2023-09-20,,
南向资金今日净买入约32亿港元 盈富基金获净买入居前,【南向资金今日净买入约32亿港元 盈富基金获净买入居前】财联社9月20日电，南向资金今日净买入31.99亿港元。港股通(沪)方面，建设银行、工商银行分别获净买入2.28亿港元、2.12亿港元，中国海洋石油遭净卖出1.28亿港元；港股通(深)方面，盈富基金、小鹏汽车-W分别获净买入5.32亿港元、2.35亿港元，快手-W遭净卖出2.58亿港元。,17:47:53,2023-09-20,,
国机汽车：全资子公司签署1.82亿元项目EPC总承包合同,【国机汽车：全资子公司签署1.82亿元项目EPC总承包合同】财联社9月20日电，国机汽车公告，全资子公司中汽工程于9月20日与上海汽车集团股份有限公司签署《自主品牌郑州电池PACK工厂项目EPC总承包合同》。项目建设年产24万台的新能源汽车电池包（PACK），合同价款1.82亿元（含税）。,17:47:46,2023-09-20,国机汽车,600335.SH
王毅会见蒙古国家安全委员会秘书长恩赫巴亚尔,【王毅会见蒙古国家安全委员会秘书长恩赫巴亚尔】当地时间2023年9月19日，中共中央政治局委员、中央外办主任王毅在莫斯科会见蒙古国家安全委员会秘书长恩赫巴亚尔。王毅说，中蒙山水相连、休戚与共，是好邻居，也是好伙伴。两国互信牢固，友谊深厚，利益交融。去年，两国元首成功会晤，双方宣布共建两国命运共同体，推动中蒙关系迈上新台阶。作为全面战略伙伴和紧密邻邦，中方始终尊重蒙古人民自主选择的发展道路。我们愿同蒙方一道，落实好两国领导人重要共识，深化双方安全合作，为两国共同发展和地区和平稳定提供坚实保障。恩赫巴亚尔表示，蒙中始终尊重彼此核心利益，在抗疫中相互支持，蒙中关系处于历史最好时期。蒙方珍视两国山水相连的情谊和全面战略伙伴关系，坚定奉行对华友好政策，坚定恪守一个中国原则。当前国际局势动荡不宁，蒙方坚持多边主义，愿同中方加强安全合作，助力两国发展繁荣。,17:44:58,2023-09-20,,
大丰实业：拟1000万元-2000万元回购公司股份,【大丰实业：拟1000万元-2000万元回购公司股份】财联社9月20日电，大丰实业公告，拟1000万元-2000万元回购公司股份，回购价格不超过22.5元/股（含），回购股份拟用于公司转换公司发行的可转换为股票的公司债券。,17:43:45,2023-09-20,大丰实业,603081.SH
报告：2025年新茶饮市场规模有望超过两千亿元,【报告：2025年新茶饮市场规模有望超过两千亿元】财联社9月20日电，中国连锁经营协会新茶饮委员会联合美团新餐饮研究院共同出品了《2023 新茶饮研究报告》。报告指出，全年新茶饮消费市场规模有望达到1498亿元，恢复3年复合增长率近20%的水平。至2025年，国内消费市场规模预计进一步扩张至2015亿元。,17:42:35,2023-09-20,,
正业科技：拟投资建设景德镇高新区屋顶分布式光伏项目,【正业科技：拟投资建设景德镇高新区屋顶分布式光伏项目】财联社9月20日电，正业科技公告，拟通过全资孙公司光运达在景德镇高新区投资建设屋顶分布式光伏项目，该项目光伏发电总装机容量为19445.35kWp，项目总投资为1.01亿元。,17:41:55,2023-09-20,正业科技,300410.SZ
